"temperature_C","rr_cumulative","rr_low_95","rr_high_95"
-1.2,1.25905125706845,1.18028241792044,1.34307691435296
-1.1,1.25817373316529,1.1798316395642,1.3417178262924
-1,1.2572896773925,1.17936360448889,1.34036469063568
-0.9,1.25639900504036,1.17887843282695,1.33901716742842
-0.800000000000001,1.25550163178365,1.17837625493082,1.33767490715768
-0.700000000000001,1.25459747368648,1.17785721104265,1.33633755112571
-0.6,1.25368644720719,1.17732145093768,1.33500473185057
-0.500000000000001,1.25276846920328,1.17676913354251,1.33367607349231
-0.4,1.25184345693642,1.1762004265296,1.33235119230344
-0.300000000000001,1.2509113280775,1.17561550588956,1.33102969710202
-0.200000000000001,1.24997200071169,1.17501455548266,1.32971118976597
-0.100000000000001,1.24902539334361,1.17439776657134,1.32839526574694
0,1.24807142490251,1.17376533733535,1.32708151460187
0.0999999999999996,1.24711001474751,1.17311747237123,1.32576952054071
0.199999999999999,1.24614108267287,1.17245438217802,1.32445886298828
0.299999999999999,1.24516454891334,1.17177628263085,1.32314911715873
0.399999999999999,1.24418033414948,1.17108339444433,1.32183985464059
0.5,1.24318835951313,1.17037594262732,1.32053064399076
0.6,1.24218854659286,1.16965415593098,1.31922105133574
0.699999999999999,1.24118081743943,1.16891826629159,1.31791064097832
0.799999999999999,1.24016509457138,1.16816850826989,1.31659897600825
0.899999999999999,1.23914130098056,1.16740511848833,1.31528561891528
1,1.23810936013781,1.16662833506773,1.31397013220313
1.1,1.23706919599858,1.16583839706465,1.31265207900312
1.2,1.23602073300864,1.16503554391068,1.31133102368621
1.3,1.23496389610981,1.16422001485475,1.31000653247229
1.4,1.23389861074573,1.1633920484095,1.30867817403574
1.5,1.23282480286769,1.16255188180237,1.30734552010654
1.6,1.23174239894044,1.16169975043242,1.30600814606598
1.7,1.2306513259481,1.16083588733322,1.30466563153648
1.8,1.22955152490776,1.15996053291191,1.30331757806264
1.9,1.22844306989947,1.15907402352546,1.30196376189505
2,1.22732611019132,1.15817674308491,1.30060406561532
2.1,1.22620079563852,1.15726906525943,1.29923838488457
2.2,1.22506727580871,1.15635135294705,1.29786662715661
2.3,1.22392569997256,1.15542395842269,1.29648871146681
2.4,1.22277621709466,1.15448722349768,1.29510456821034
2.5,1.22161897582448,1.15354147968942,1.29371413891095
2.6,1.22045412448762,1.15258704840027,1.29231737598145
2.7,1.2192818110771,1.15162424110447,1.29091424247694
2.8,1.21810218324494,1.15065335954204,1.28950471184183
2.9,1.21691538829381,1.14967469591879,1.28808876765161
