"cluster","period","temperature_c","or_cumulative","or_low_95","or_high_95","centering_temp_c","temp_lower_bound_c","temp_upper_bound_c"
"cluster_1","2018-2021",29.9590707070707,1.01586347171894,0.932096179236468,1.10715891359861,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",30.2783376623376,1.01650371091169,0.929235246808683,1.11196793045236,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",30.5976046176046,1.01702621398393,0.925796294441154,1.11724612222049,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",30.9168715728716,1.01743884605817,0.921515887692021,1.1233466718201,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",31.2361385281385,1.01774952271765,0.91618859397923,1.1305686381591,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",31.5554054834055,1.01796620169818,0.909684608635515,1.13913677109933,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",31.8746724386724,1.01809687518357,0.901955209230261,1.14919370346908,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",32.1939393939394,1.01814956271368,0.893025544173504,1.16080501707648,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",32.5132063492063,1.01813230471283,0.882978789017725,1.17397314951703,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",32.8324733044733,1.01805315664458,0.871937380756998,1.18865442935156,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",33.1517402597402,1.01792018379758,0.860045867580138,1.20477469823544,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",33.4710072150072,1.01774145670607,0.847457609250325,1.22224127955437,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",33.7902741702741,1.01752504720745,0.834325651654453,1.24095096398081,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",34.1095411255411,1.01727902513827,0.820797093125844,1.2607946880577,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",34.4288080808081,1.01701145566957,0.807009982361375,1.2816598599396,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",34.748075036075,1.01673039728132,0.793091887794286,1.3034311870606,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",35.067341991342,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",35.3866089466089,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",35.7058759018759,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",36.0251428571428,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2022-2025",3.85214285714286,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",4.18467676767677,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",4.51721067821068,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",4.84974458874459,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",5.1822784992785,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",5.51481240981241,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",5.84734632034632,NA,NA,NA,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",6.17988023088023,1.28284344589215,1.12818838233026,1.45869903683043,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",6.51241414141414,1.26888667071903,1.12234634945874,1.43456018180564,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",6.84494805194806,1.255136788379,1.11612381135126,1.41146380134575,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",7.17748196248197,1.24162566798036,1.1094982245786,1.38948784706096,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",7.51001587301588,1.22838373016237,1.10245589592471,1.36869564950893,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",7.84254978354979,1.2154400162003,1.09499559590402,1.34913276227503,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",8.1750836940837,1.20282226409445,1.0871321628851,1.33082383945088,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",8.50761760461761,1.19055699105226,1.07889950956047,1.31377013001039,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",8.84015151515152,1.178669581832,1.0703523741934,1.2979482426831,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",9.17268542568543,1.16718438247884,1.0615662850313,1.28331070976161,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",9.50521933621934,1.15612479905033,1.05263553934576,1.26978854600512,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",9.83775324675325,1.14551340099669,1.0436694436132,1.25729555453894,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",10.1702871572872,1.13537202893272,1.03478744986555,1.24573374392035,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",10.5028210678211,1.12572190661169,1.0261140067539,1.23499903781101,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",10.835354978355,1.11658375698732,1.01777387784896,1.22498652549712,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",11.1678888888889,1.10797787757823,1.00988835933319,1.21559473961393,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",11.5004227994228,1.09991168168547,1.00255121914424,1.206727082274,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",11.8329567099567,1.09236305930808,0.99579531662936,1.19829550653032,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",12.1654906204906,1.08530666448455,0.989634414683547,1.19022796549696,23.8,3.85214285714286,36.773
"cluster_1","2022-2025",12.4980245310245,1.07871822927424,0.984072568292433,1.18246667538725,23.8,3.85214285714286,36.773
