"temperature_C","rr_cumulative","rr_low_95","rr_high_95"
1.1,1.23589821195372,1.18269728577246,1.29149225984126
1.2,1.23508739788106,1.18206187674821,1.29049156428343
1.3,1.23426750215208,1.18141398107154,1.28948555821812
1.4,1.23343844228369,1.18075371997912,1.28847393420037
1.5,1.23260013626727,1.18008121411742,1.28745638668808
1.6,1.2317525025754,1.1793965831672,1.28643261245203
1.7,1.2308954601688,1.17869994547012,1.28540231098412
1.8,1.23002894090631,1.17799142868458,1.28436519878296
1.9,1.22915299887545,1.17727126569205,1.28332113309193
2,1.22826775734651,1.17653974451413,1.28227005570479
2.1,1.22737334029908,1.17579714671073,1.28121191711612
2.2,1.22646987161903,1.17504374674391,1.28014667552376
2.3,1.22555747509011,1.17427981206137,1.27907429670667
2.4,1.22463627438559,1.17350560318836,1.27799475389491
2.5,1.22370639306002,1.17272137382709,1.27690802763244
2.6,1.22276795454113,1.17192737096311,1.27581410563349
2.7,1.22182108212183,1.17112383497778,1.2747129826332
2.8,1.2208658989523,1.17031099976635,1.27360466023321
2.9,1.21990252803226,1.16948909286092,1.2724891467427
3,1.21893109220326,1.16865833555772,1.27136645701564
3.1,1.21795171414119,1.16781894304826,1.27023661228465
3.2,1.21696451634883,1.16697112455365,1.26909963999203
3.3,1.21596962114853,1.16611508346185,1.26795557361855
3.4,1.21496715067505,1.16525101746716,1.26680445251021
3.5,1.21395722686842,1.16437911871174,1.26564632170366
3.6,1.21293997146703,1.16349957392867,1.26448123175044
3.7,1.21191550600074,1.16261256458618,1.26330923854054
3.8,1.21088395178416,1.16171826703282,1.26213040312553
3.9,1.20984542991004,1.16081685264324,1.2609447915416
4,1.20880006124272,1.15990848796419,1.25975247463274
4.1,1.20774796641179,1.15899333486074,1.25855352787433
4.2,1.20668926580576,1.15807155066221,1.2573480311974
4.3,1.20562407956594,1.15714328830787,1.25613606881372
4.4,1.20455252758036,1.15620869649206,1.25491772904183
4.5,1.20347472947783,1.15526791980861,1.25369310413439
4.6,1.20239080462214,1.15432109889448,1.25246229010671
4.7,1.20130087210633,1.15336837057242,1.25122538656683
4.8,1.2002050507471,1.15240986799252,1.24998249654714
4.9,1.19910345907933,1.1514457207727,1.24873372633763
5,1.19799621535069,1.15047605513786,1.2474791853209
5.1,1.19688343751641,1.14950099405772,1.24621898580904
5.2,1.19576524323409,1.14852065738333,1.24495324288229
5.3,1.19464174985871,1.1475351619821,1.24368207422976
5.4,1.19351307443768,1.14654462187134,1.24240559999202
5.5,1.19237933370603,1.14554914835034,1.24112394260576
5.6,1.19124064408171,1.14454885013082,1.2398372266505
5.7,1.19009712166099,1.14354383346587,1.23854557869735
5.8,1.18894888221399,1.14253420227726,1.23724912715991
5.9,1.18779604118029,1.14152005828119,1.23594800214718
6,1.18663871366469,1.14050150111232,1.2346423353187
6.1,1.18547701443305,1.1394786284463,1.23333225974175
6.2,1.18431105790821,1.13845153612052,1.23201790975069
6.3,1.18314095816611,1.13742031825334,1.23069942080851
6.4,1.1819668289319,1.13638506736158,1.22937692937038
6.5,1.18078878357625,1.13534587447636,1.22805057274951
6.6,1.17960693511175,1.13430282925736,1.22672048898507
6.7,1.17842139618935,1.13325602010531,1.22538681671227
6.8,1.177232279095,1.13220553427284,1.22404969503465
6.9,1.17603969574632,1.13115145797368,1.22270926339846
7,1.17484375768942,1.13009387649015,1.22136566146929
7.1,1.17364457609581,1.12903287427892,1.22001902901086
7.2,1.17244226175941,1.1279685350751,1.21866950576596
7.3,1.17123692509367,1.12690094199459,1.21731723133964
7.4,1.17002867612879,1.12583017763466,1.21596234508464
7.5,1.16881762450902,1.1247563241728,1.21460498598898
7.6,1.16760387949012,1.12367946346378,1.21324529256589
7.7,1.16638754993686,1.12259967713487,1.21188340274596
7.8,1.16516874432065,1.12151704667927,1.21051945377163
7.9,1.16394757071726,1.12043165354764,1.20915358209399
8,1.16272413680467,1.11934357923774,1.20778592327193
8.1,1.16149854986095,1.11825290538217,1.20641661187371
8.2,1.16027091676233,1.11715971383409,1.20504578138093
8.3,1.15904134398127,1.11606408675098,1.20367356409495
8.4,1.15780993758474,1.11496610667635,1.20230009104583
8.5,1.15657680323247,1.11386585661933,1.20092549190382
8.6,1.15534204617539,1.11276342013218,1.19954989489337
8.7,1.15410577125414,1.11165888138558,1.19817342670979
8.8,1.15286808289767,1.11055232524171,1.1967962124386
8.9,1.15162908512192,1.1094438373251,1.19541837547754
9,1.1503888815286,1.1083335040911,1.19404003746136
9.1,1.14914757530412,1.10722141289205,1.19266131818937
9.2,1.14790526921851,1.10610765204098,1.19128233555588
9.3,1.14666206562451,1.10499231087291,1.18990320548346
9.4,1.14541806645672,1.10387547980361,1.18852404185921
9.5,1.14417337323088,1.10275725038581,1.18714495647389
9.6,1.14292808704315,1.10163771536288,1.18576605896414
9.7,1.14168230856956,1.10051696871976,1.18438745675774
9.8,1.14043613806557,1.09939510573133,1.18300925502187
9.9,1.1391896753656,1.09827222300804,1.18163155661462
10,1.13794301988279,1.09714841853875,1.18025446203951
10.1,1.13669627060871,1.09602379173085,1.17887806940329
10.2,1.13544952611329,1.09489844344758,1.17750247437686
10.3,1.13420288454474,1.09377247604249,1.17612777015944
10.4,1.13295644362959,1.09264599339109,1.17475404744596
10.5,1.13171030067279,1.09151910091966,1.17338139439775
10.6,1.13046455255794,1.09039190563114,1.17200989661632
10.7,1.12921929574759,1.08926451612821,1.17063963712061
10.8,1.12797462628356,1.08813704263346,1.16927069632729
10.9,1.12673063978745,1.08700959700676,1.16790315203439
11,1.1254874314611,1.0858822927597,1.16653707940814
11.1,1.1242450960873,1.08475524506725,1.165172550973
11.2,1.1230037280304,1.08362857077662,1.16380963660486
11.3,1.12176342123711,1.08250238841331,1.16244840352735
11.4,1.12052426923738,1.08137681818443,1.16108891631134
11.5,1.11928636514528,1.08025198197935,1.15973123687738
11.6,1.11804980166006,1.07912800336761,1.15837542450122
11.7,1.1168146710672,1.07800500759433,1.15702153582231
11.8,1.11558106523956,1.07688312157301,1.15566962485506
11.9,1.11434907563867,1.07576247387586,1.1543197430031
12,1.113118793316,1.07464319472172,1.15297193907614
12.1,1.11189030891435,1.07352541596164,1.15162625930958
12.2,1.11066371266933,1.07240927106221,1.15028274738671
12.3,1.10943909441087,1.0712948950867,1.14894144446343
12.4,1.10821654356485,1.07018242467411,1.14760238919529
12.5,1.10699614915476,1.06907199801621,1.14626561776702
12.6,1.10577799980348,1.0679637548327,1.14493116392413
12.7,1.10456218373507,1.06685783634456,1.14359905900673
12.8,1.10334878877668,1.06575438524567,1.14226933198529
12.9,1.1021379023605,1.06465354567284,1.14094200949844
13,1.10092961152582,1.06355546317437,1.1396171158924
13.1,1.09972400292109,1.06246028467718,1.13829467326229
13.2,1.09852116280612,1.06136815845271,1.13697470149485
13.3,1.09732117705432,1.06027923408157,1.13565721831278
13.4,1.09612413115499,1.05919366241726,1.13434223932032
13.5,1.09493011021568,1.05811159554879,1.13302977805014
13.6,1.09373919896464,1.05703318676257,1.13171984601134
13.7,1.09255148175335,1.05595859050358,1.1304124527385
13.8,1.09136704255902,1.0548879623358,1.12910760584154
13.9,1.09018596498731,1.05382145890228,1.12780531105651
14,1.08900833227493,1.05275923788471,1.12650557229696
14.1,1.08783422729249,1.05170145796272,1.12520839170595
14.2,1.08666373254725,1.05064827877298,1.12391376970853
14.3,1.08549693018606,1.04959986086817,1.12262170506456
14.4,1.08433390199826,1.04855636567603,1.12133219492185
14.5,1.08317472941875,1.04751795545839,1.12004523486947
14.6,1.08201949353098,1.04648479327046,1.11876081899114
14.7,1.08086827507014,1.04545704292035,1.11747893991864
14.8,1.07972115442635,1.04443486892895,1.11619958888511
14.9,1.07857821164787,1.04341843649024,1.11492275577824
15,1.07743952644445,1.04240791143208,1.11364842919313
15.1,1.07630517819067,1.04140346017763,1.11237659648495
15.2,1.07517524592939,1.0404052497073,1.11110724382114
