"temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
4.2,1.1936739063041,1.15569459274765,1.23290132491119,1.1936739063041,1.15569459274765,1.23290132491119
4.3,1.19253994087908,1.15467755326033,1.23164385293219,1.19253994087908,1.15467755326033,1.23164385293219
4.4,1.19139907874903,1.15365386653394,1.23037923767257,1.19139907874903,1.15365386653394,1.23037923767257
4.5,1.19025147415903,1.15262370279756,1.22910761621441,1.19025147415903,1.15262370279756,1.22910761621441
4.6,1.18909728095752,1.15158722879709,1.22782912854769,1.18909728095752,1.15158722879709,1.22782912854769
4.7,1.18793665258831,1.15054460791301,1.22654391742577,1.18793665258831,1.15054460791301,1.22654391742577
4.8,1.18676974208262,1.14949600027718,1.22525212822249,1.18676974208262,1.14949600027718,1.22525212822249
4.9,1.18559670205143,1.14844156288839,1.22395390879095,1.18559670205143,1.14844156288839,1.22395390879095
5,1.18441768467795,1.14738144972681,1.22264940932407,1.18441768467795,1.14738144972681,1.22264940932407
5.1,1.18323284171033,1.14631581186726,1.22133878221686,1.18323284171033,1.14631581186726,1.22133878221686
5.2,1.18204232445449,1.14524479759114,1.22002218193056,1.18204232445449,1.14524479759114,1.22002218193056
5.3,1.18084628376724,1.14416855249715,1.21869976485862,1.18084628376724,1.14416855249715,1.21869976485862
5.4,1.1796448700495,1.14308721961063,1.21737168919454,1.1796448700495,1.14308721961063,1.21737168919454
5.5,1.17843823323972,1.14200093949168,1.21603811480163,1.17843823323972,1.14200093949168,1.21603811480163
5.6,1.17722652280756,1.14090985034182,1.2146992030846,1.17722652280756,1.14090985034182,1.2146992030846
5.7,1.17600988774763,1.13981408810939,1.21335511686312,1.17600988774763,1.13981408810939,1.21335511686312
5.8,1.17478847657356,1.13871378659359,1.21200602024729,1.17478847657356,1.13871378659359,1.21200602024729
5.9,1.1735624373121,1.13760907754716,1.21065207851492,1.1735624373121,1.13760907754716,1.21065207851492
6,1.17233191749755,1.13650009077773,1.20929345799083,1.17233191749755,1.13650009077773,1.20929345799083
6.1,1.17109706416629,1.13538695424782,1.20793032592794,1.17109706416629,1.13538695424782,1.20793032592794
6.2,1.16985802385146,1.13426979417351,1.20656285039032,1.16985802385146,1.13426979417351,1.20656285039032
6.3,1.16861494257793,1.13314873512185,1.20519120013806,1.16861494257793,1.13314873512185,1.20519120013806
