"state","date","temp","deaths","Ni","rr_i","ac_i"
"New York",2023-08-19,21.5,83,93.25,1.14752913234498,11.9884464833208
"New York",2023-08-26,20.4428571428571,81,95.875,1.14188965416269,11.9132970013843
"New York",2023-09-02,19.5142857142857,104,98.875,1.13695892684629,11.9105568127154
"New York",2023-09-09,23.9285714285714,84,98.5,1.16059040271699,13.6294033024849
"New York",2023-09-16,18.8714285714286,81,96.5,1.13355782422148,11.3698037823736
"New York",2023-09-23,15.7285714285714,106,99,1.11707610105177,10.3757783316755
"New York",2023-09-30,13.9285714285714,106,101.25,1.10774472103698,9.84807491998877
"New York",2023-10-07,18.3714285714286,101,100.625,1.13091955766455,11.6487334582842
"New York",2023-10-14,11.6714285714286,104,101.75,1.09615354602425,8.9254131808932
"New York",2023-10-21,12.2142857142857,105,100.375,1.09893017141368,9.03616645894244
"New York",2023-10-28,12.8,101,101.125,1.10193389277866,9.35452205871351
"New York",2023-11-04,6.32857142857143,68,102.25,1.06919724694393,6.61750534827885
"New York",2023-11-11,6.51428571428571,101,109.25,1.07012301452166,7.15893334928059
"New York",2023-11-18,4.28571428571429,124,111.125,1.05906650987683,6.19768999288424
"New York",2023-11-25,1.85714285714286,101,109.625,1.04714778816841,4.93586133338726
"New York",2023-12-02,2.27142857142857,110,113.25,1.04917145083801,5.30768045866709
"New York",2023-12-09,2.27142857142857,93,113.5,1.04917145083801,5.31939719257144
"New York",2023-12-16,2.85714285714286,111,115.75,1.05203916598897,5.72557910195334
"New York",2023-12-23,0.942857142857143,110,112.25,1.04269557560669,4.59633518542746
"New York",2023-12-30,4.34285714285714,124,111.5,1.05934857792082,6.24663739216002
"New York",2024-01-06,-0.671428571428571,116,109.375,1.03488080504631,3.68649996534535
"New York",2024-01-13,1.21428571428571,112,107.875,1.04401534687541,4.54797485343046
"New York",2024-01-20,-6.05714285714286,130,105.875,1.00922971863831,0.968259696265275
"New York",2024-01-27,-0.414285714285714,112,101,1.03612170256211,3.52110369829308
"New York",2024-02-03,-0.6,111,102,1.03522534965146,3.47072805516055
"New York",2024-02-10,0.942857142857143,83,100.125,1.04269557560669,4.09984909078775
"New York",2024-02-17,-0.257142857142857,104,101.5,1.03688076119033,3.61024854634324
"New York",2024-02-24,-0.828571428571429,107,99,1.0341232105054,3.26672663925938
"New York",2024-03-02,2.97142857142857,104,96.875,1.05259963342744,4.84095692841102
"New York",2024-03-09,6.37142857142857,96,94.75,1.06941081450599,6.14981126544975
"New York",2024-03-16,6.72857142857143,91,93.125,1.0711922039692,6.18915444872134
"New York",2024-03-23,1.65714285714286,120,95,1.04617224504667,4.19277351335039
"New York",2024-03-30,3.3,96,91.75,1.05421264108204,4.71822251549914
"New York",2024-04-06,4.75714285714286,94,92.625,1.06139581919416,5.35783884769473
"New York",2024-04-13,10.6714285714286,84,91.875,1.09105706167626,7.66767187103217
"New York",2024-04-20,9.94285714285714,90,92.625,1.08735883613296,7.44152889361934
"New York",2024-04-27,7.91428571428571,87,91.25,1.07712772409096,6.53395569150309
"New York",2024-05-04,15.0571428571429,83,93.625,1.11358619153733,9.54978363013078
"New York",2024-05-11,13.5857142857143,106,94.625,1.10597617303998,9.06709892885335
"New York",2024-05-18,15.7714285714286,94,94.625,1.1172992322095,9.93416940408521
"New York",2024-05-25,20.6285714285714,103,93.625,1.1428783626748,11.7046460431019
"New York",2024-06-01,19.2857142857143,88,91.875,1.13574847837614,10.9812090337467
"New York",2024-06-08,21.5714285714286,90,92.75,1.147911181147,11.9510657938505
"New York",2024-06-15,18.6,79,94,1.13212485960815,10.9702889197793
"New York",2024-06-22,24.4428571428571,106,95,1.16337533635807,13.3410572400514
"New York",2024-06-29,21.8285714285714,91,93.5,1.14928761032233,12.145255408455
"New York",2024-07-06,23.2142857142857,106,94.25,1.1567334955924,12.7705577956123
"New York",2024-07-13,26.2857142857143,86,93.25,1.1734096722822,13.7807385794466
"New York",2024-07-20,24.5857142857143,89,94.375,1.16415011432137,13.3072761394779
"New York",2024-07-27,23.3571428571429,95,94.875,1.15750385026107,12.9098298810402
"New York",2024-08-03,25.2428571428571,100,94.5,1.1677207441159,13.5731170306072
