"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
"Total","2005","2005","Renal failure","N17-N19",,,75248,295516599,25.5,25.1,3.9%
"Total","2005","2005",,,,,75248,295516599,25.5,25.1,3.9%
,"2006","2006","Renal failure","N17-N19","Female","F",35228,151732647,23.2,19.6,1.8%
,"2006","2006","Renal failure","N17-N19","Male","M",39151,146647265,26.7,31.7,2.0%
"Total","2006","2006","Renal failure","N17-N19",,,74379,298379912,24.9,24.3,3.8%
"Total","2006","2006",,,,,74379,298379912,24.9,24.3,3.8%
,"2007","2007","Renal failure","N17-N19","Female","F",34826,153166353,22.7,19.0,1.8%
,"2007","2007","Renal failure","N17-N19","Male","M",38600,148064854,26.1,30.6,2.0%
"Total","2007","2007","Renal failure","N17-N19",,,73426,301231207,24.4,23.5,3.8%
"Total","2007","2007",,,,,73426,301231207,24.4,23.5,3.8%
,"2008","2008","Renal failure","N17-N19","Female","F",34081,154604015,22.0,18.3,1.8%
,"2008","2008","Renal failure","N17-N19","Male","M",38249,149489951,25.6,29.5,2.0%
"Total","2008","2008","Renal failure","N17-N19",,,72330,304093966,23.8,22.7,3.7%
"Total","2008","2008",,,,,72330,304093966,23.8,22.7,3.7%
,"2009","2009","Renal failure","N17-N19","Female","F",33437,155964075,21.4,17.7,1.7%
,"2009","2009","Renal failure","N17-N19","Male","M",38249,150807454,25.4,28.7,2.0%
"Total","2009","2009","Renal failure","N17-N19",,,71686,306771529,23.4,22.1,3.7%
"Total","2009","2009",,,,,71686,306771529,23.4,22.1,3.7%
,"2010","2010","Renal failure","N17-N19","Female","F",33264,156964212,21.2,17.3,1.7%
,"2010","2010","Renal failure","N17-N19","Male","M",38244,151781326,25.2,28.2,2.0%
"Total","2010","2010","Renal failure","N17-N19",,,71508,308745538,23.2,21.6,3.7%
"Total","2010","2010",,,,,71508,308745538,23.2,21.6,3.7%
,"2011","2011","Renal failure","N17-N19","Female","F",61361,158301098,38.8,30.7,3.2%
,"2011","2011","Renal failure","N17-N19","Male","M",67037,153290819,43.7,48.3,3.5%
"Total","2011","2011","Renal failure","N17-N19",,,128398,311591917,41.2,37.8,6.6%
"Total","2011","2011",,,,,128398,311591917,41.2,37.8,6.6%
,"2012","2012","Renal failure","N17-N19","Female","F",64799,159421973,40.6,31.6,3.3%
,"2012","2012","Renal failure","N17-N19","Male","M",70833,154492067,45.8,49.6,3.7%
"Total","2012","2012","Renal failure","N17-N19",,,135632,313914040,43.2,38.9,7.0%
"Total","2012","2012",,,,,135632,313914040,43.2,38.9,7.0%
,"2013","2013","Renal failure","N17-N19","Female","F",38996,160477237,24.3,18.6,2.0%
,"2013","2013","Renal failure","N17-N19","Male","M",44379,155651602,28.5,30.4,2.3%
"Total","2013","2013","Renal failure","N17-N19",,,83375,316128839,26.4,23.4,4.3%
"Total","2013","2013",,,,,83375,316128839,26.4,23.4,4.3%
,"2014","2014","Renal failure","N17-N19","Female","F",40284,161920569,24.9,18.9,2.1%
,"2014","2014","Renal failure","N17-N19","Male","M",46117,156936487,29.4,30.7,2.4%
"Total","2014","2014","Renal failure","N17-N19",,,86401,318857056,27.1,23.7,4.5%
"Total","2014","2014",,,,,86401,318857056,27.1,23.7,4.5%
,"2015","2015","Renal failure","N17-N19","Female","F",43822,163189523,26.9,20.2,2.3%
,"2015","2015","Renal failure","N17-N19","Male","M",50409,158229297,31.9,32.6,2.6%
"Total","2015","2015","Renal failure","N17-N19",,,94231,321418820,29.3,25.2,4.9%
"Total","2015","2015",,,,,94231,321418820,29.3,25.2,4.9%
,"2016","2016","Renal failure","N17-N19","Female","F",46792,164048590,28.5,21.1,2.4%
