"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code","Deaths","Population","Crude Rate","Age Adjusted Rate","% of Total Deaths","source_file","Crude Rate Lower 95% Confidence Interval","Crude Rate Upper 95% Confidence Interval","Age Adjusted Rate Lower 95% Confidence Interval","Age Adjusted Rate Upper 95% Confidence Interval"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1",,,"","","","",,,,,"","N181999",,,,
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures",,,"","","","",,,,,"","N181999",,,,
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1",,,"","","","",,,,,"","N181999",,,,
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012.",,,"","","","",,,,,"","N181999",,,,
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of",,,"","","","",,,,,"","N181999",,,,
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population",,,"","","","",,,,,"","N181999",,,,
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which",,,"","","","",,,,,"","N181999",,,,
"were available at the time of release.",,,"","","","",,,,,"","N181999",,,,
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the",,,"","","","",,,,,"","N181999",,,,
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.",,,"","","","",,,,,"","N181999",,,,
"11. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,"","","","",,,,,"","N181999",,,,
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,"","","","",,,,,"","N181999",,,,
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More",,,"","","","",,,,,"","N181999",,,,
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.",,,"","","","",,,,,"","N181999",,,,
"12. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March",,,"","","","",,,,,"","N181999",,,,
"4, 2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,",,,"","","","",,,,,"","N181999",,,,
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the",,,"","","","",,,,,"","N181999",,,,
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and",,,"","","","",,,,,"","N181999",,,,
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,",,,"","","","",,,,,"","N181999",,,,
"2020.",,,"","","","",,,,,"","N181999",,,,
"13. Changes to cause of death classification affect reporting trends. More information:",,,"","","","",,,,,"","N181999",,,,
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes.",,,"","","","",,,,,"","N181999",,,,
"","2018",2018,"Renal failure","N17-N19","Female","F",51729,166038755,31.2,22.5,,"N182018",30.9,31.4,22.3,22.6
"","2018",2018,"Renal failure","N17-N19","Male","M",59375,161128679,36.8,35.4,,"N182018",36.6,37.1,35.2,35.7
"Total","2018",2018,"Renal failure","N17-N19","","",111104,327167434,34,27.9,,"N182018",33.8,34.2,27.7,28
"Total","2018",2018,"","","","",111104,327167434,34,27.9,,"N182018",33.8,34.2,27.7,28
"","2019",2019,"Renal failure","N17-N19","Female","F",54240,166582199,32.6,23.1,,"N182018",32.3,32.8,23,23.3
"","2019",2019,"Renal failure","N17-N19","Male","M",61697,161657324,38.2,35.9,,"N182018",37.9,38.5,35.6,36.2
"Total","2019",2019,"Renal failure","N17-N19","","",115937,328239523,35.3,28.5,,"N182018",35.1,35.5,28.3,28.7
"Total","2019",2019,"","","","",115937,328239523,35.3,28.5,,"N182018",35.1,35.5,28.3,28.7
"","2020",2020,"Renal failure","N17-N19","Female","F",63194,167227921,37.8,26.5,,"N182018",37.5,38.1,26.3,26.8
"","2020",2020,"Renal failure","N17-N19","Male","M",73137,162256202,45.1,41.7,,"N182018",44.7,45.4,41.4,42
"Total","2020",2020,"Renal failure","N17-N19","","",136331,329484123,41.4,32.9,,"N182018",41.2,41.6,32.8,33.1
"Total","2020",2020,"","","","",136331,329484123,41.4,32.9,,"N182018",41.2,41.6,32.8,33.1
"","2021",2021,"Renal failure","N17-N19","Female","F",64575,167509003,38.6,28.4,,"N182018",38.3,38.8,28.1,28.6
"","2021",2021,"Renal failure","N17-N19","Male","M",75048,164384742,45.7,43.8,,"N182018",45.3,46,43.5,44.1
"Total","2021",2021,"Renal failure","N17-N19","","",139623,331893745,42.1,34.9,,"N182018",41.8,42.3,34.7,35.1
"Total","2021",2021,"","","","",139623,331893745,42.1,34.9,,"N182018",41.8,42.3,34.7,35.1
"","2022",2022,"Renal failure","N17-N19","Female","F",61336,168004004,36.5,25.4,,"N182018",36.2,36.8,25.2,25.6
"","2022",2022,"Renal failure","N17-N19","Male","M",69760,165283553,42.2,39.3,,"N182018",41.9,42.5,39,39.6
"Total","2022",2022,"Renal failure","N17-N19","","",131096,333287557,39.3,31.2,,"N182018",39.1,39.5,31,31.4
"Total","2022",2022,"","","","",131096,333287557,39.3,31.2,,"N182018",39.1,39.5,31,31.4
"","2023",2023,"Renal failure","N17-N19","Female","F",58926,169165495,34.8,24.6,,"N182018",34.6,35.1,24.4,24.8
