"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2020 Week 38 ending September 19, 2020","2020/38","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 39 ending September 26, 2020","2020/39","Diseases of the circulatory system","I00-I99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 39 ending September 26, 2020","2020/39","Diseases of the genitourinary system","N00-N99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 40 ending October 03, 2020","2020/40","Diseases of the circulatory system","I00-I99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 40 ending October 03, 2020","2020/40","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 41 ending October 10, 2020","2020/41","Diseases of the circulatory system","I00-I99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 41 ending October 10, 2020","2020/41","Diseases of the genitourinary system","N00-N99",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 42 ending October 17, 2020","2020/42","Diseases of the circulatory system","I00-I99",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 42 ending October 17, 2020","2020/42","Diseases of the genitourinary system","N00-N99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 43 ending October 24, 2020","2020/43","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 43 ending October 24, 2020","2020/43","Diseases of the genitourinary system","N00-N99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 44 ending October 31, 2020","2020/44","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 44 ending October 31, 2020","2020/44","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 45 ending November 07, 2020","2020/45","Diseases of the circulatory system","I00-I99",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 45 ending November 07, 2020","2020/45","Diseases of the genitourinary system","N00-N99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 46 ending November 14, 2020","2020/46","Diseases of the circulatory system","I00-I99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 46 ending November 14, 2020","2020/46","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 47 ending November 21, 2020","2020/47","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 47 ending November 21, 2020","2020/47","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 48 ending November 28, 2020","2020/48","Diseases of the circulatory system","I00-I99",66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 48 ending November 28, 2020","2020/48","Diseases of the genitourinary system","N00-N99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 49 ending December 05, 2020","2020/49","Diseases of the circulatory system","I00-I99",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 49 ending December 05, 2020","2020/49","Diseases of the genitourinary system","N00-N99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 50 ending December 12, 2020","2020/50","Diseases of the circulatory system","I00-I99",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 50 ending December 12, 2020","2020/50","Diseases of the genitourinary system","N00-N99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 51 ending December 19, 2020","2020/51","Diseases of the circulatory system","I00-I99",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2020 Week 51 ending December 19, 2020","2020/51","Diseases of the genitourinary system","N00-N99",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
